Meter No.,Data Start Time,Data End Time,Active energy import A+(1.8.0)
21102097598,2023-05-18 02:30:00,2023-05-18 02:45:00,0.121
21102097598,2023-05-18 02:15:00,2023-05-18 02:30:00,0.108
21102097598,2023-05-18 02:00:00,2023-05-18 02:15:00,0.114
21102097598,2023-05-18 01:45:00,2023-05-18 02:00:00,0.131
21102097598,2023-05-18 01:30:00,2023-05-18 01:45:00,0.134
21102097598,2023-05-18 01:15:00,2023-05-18 01:30:00,0.128
21102097598,2023-05-18 01:00:00,2023-05-18 01:15:00,0.141
21102097598,2023-05-18 00:45:00,2023-05-18 01:00:00,0.131
21102097598,2023-05-18 00:30:00,2023-05-18 00:45:00,0.11
21102097598,2023-05-18 00:15:00,2023-05-18 00:30:00,0.122
21102097598,2023-05-18 00:00:00,2023-05-18 00:15:00,0.118
21102097598,2023-05-17 23:45:00,2023-05-18 00:00:00,0.108
21102097598,2023-05-17 23:30:00,2023-05-17 23:45:00,0.1
21102097598,2023-05-17 23:15:00,2023-05-17 23:30:00,0.09
21102097598,2023-05-17 23:00:00,2023-05-17 23:15:00,0.073
21102097598,2023-05-17 22:45:00,2023-05-17 23:00:00,0.118
21102097598,2023-05-17 22:30:00,2023-05-17 22:45:00,0.144
21102097598,2023-05-17 22:15:00,2023-05-17 22:30:00,0.151
21102097598,2023-05-17 22:00:00,2023-05-17 22:15:00,0.181
21102097598,2023-05-17 21:45:00,2023-05-17 22:00:00,0.203
21102097598,2023-05-17 21:30:00,2023-05-17 21:45:00,0.239
21102097598,2023-05-17 21:15:00,2023-05-17 21:30:00,0.216
21102097598,2023-05-17 21:00:00,2023-05-17 21:15:00,0.191
21102097598,2023-05-17 20:45:00,2023-05-17 21:00:00,0.18
21102097598,2023-05-17 20:30:00,2023-05-17 20:45:00,0.167
21102097598,2023-05-17 20:15:00,2023-05-17 20:30:00,0.163
21102097598,2023-05-17 20:00:00,2023-05-17 20:15:00,0.108
21102097598,2023-05-17 19:45:00,2023-05-17 20:00:00,0.102
